Store ID,Product ID,Date,Units Sold,Sales Revenue (USD),Discount Percentage,Marketing Spend (USD),Store Location,Product Category,Day of the Week,Holiday Effect,Year,Month
Spearsland,52372247,2022-01-01,9,2741.69,20,81.0,Tanzania,Furniture,Saturday,False,2022,1
Spearsland,52372247,2022-01-02,7,2665.53,0,0.0,Mauritania,Furniture,Sunday,False,2022,1
Spearsland,52372247,2022-01-03,1,380.79,0,0.0,Saint Pierre and Miquelon,Furniture,Monday,False,2022,1
Spearsland,52372247,2022-01-04,4,1523.16,0,0.0,Australia,Furniture,Tuesday,False,2022,1
Spearsland,52372247,2022-01-05,2,761.58,0,0.0,Swaziland,Furniture,Wednesday,False,2022,1
Spearsland,52372247,2022-01-06,8,3046.32,0,41.0,Bhutan,Furniture,Thursday,False,2022,1
Spearsland,52372247,2022-01-07,6,2284.74,0,0.0,Suriname,Furniture,Friday,False,2022,1
Spearsland,52372247,2022-01-08,9,3427.11,0,83.0,Taiwan,Furniture,Saturday,False,2022,1
Spearsland,52372247,2022-01-09,7,2665.53,0,0.0,Papua New Guinea,Furniture,Sunday,False,2022,1
Spearsland,52372247,2022-01-10,1,380.79,0,164.0,Canada,Furniture,Monday,False,2022,1
Spearsland,52372247,2022-01-11,4,1523.16,0,61.0,Vietnam,Furniture,Tuesday,False,2022,1
Spearsland,52372247,2022-01-12,6,2284.74,0,0.0,Cocos (Keeling) Islands,Furniture,Wednesday,False,2022,1
Spearsland,52372247,2022-01-13,3,971.01,15,197.0,Lebanon,Furniture,Thursday,False,2022,1
Spearsland,52372247,2022-01-14,6,2284.74,0,0.0,Luxembourg,Furniture,Friday,False,2022,1
Spearsland,52372247,2022-01-15,3,971.01,15,163.0,French Guiana,Furniture,Saturday,False,2022,1
Spearsland,52372247,2022-01-16,2,761.58,0,160.0,Paraguay,Furniture,Sunday,False,2022,1
Spearsland,52372247,2022-01-17,8,3046.32,0,0.0,Nauru,Furniture,Monday,False,2022,1
Spearsland,52372247,2022-01-18,6,2284.74,0,0.0,Italy,Furniture,Tuesday,False,2022,1
Spearsland,52372247,2022-01-19,13,4950.27,0,188.0,Saint Helena,Furniture,Wednesday,False,2022,1
Spearsland,52372247,2022-01-20,5,1903.95,0,0.0,Portugal,Furniture,Thursday,False,2022,1
Spearsland,52372247,2022-01-21,3,913.9,20,7.0,French Southern Territories,Furniture,Friday,False,2022,1
Spearsland,52372247,2022-01-22,9,3427.11,0,171.0,Colombia,Furniture,Saturday,False,2022,1
Spearsland,52372247,2022-01-23,5,1903.95,0,180.0,Switzerland,Furniture,Sunday,False,2022,1
Spearsland,52372247,2022-01-24,4,1370.84,10,24.0,Mali,Furniture,Monday,False,2022,1
Spearsland,52372247,2022-01-25,4,1523.16,0,126.0,Reunion,Furniture,Tuesday,False,2022,1
Spearsland,52372247,2022-01-26,12,4569.48,0,0.0,Romania,Furniture,Wednesday,False,2022,1
Spearsland,52372247,2022-01-27,6,2284.74,0,152.0,Dominican Republic,Furniture,Thursday,False,2022,1
Spearsland,52372247,2022-01-28,5,1903.95,0,0.0,Switzerland,Furniture,Friday,False,2022,1
Spearsland,52372247,2022-01-29,7,2665.53,0,0.0,Sweden,Furniture,Saturday,False,2022,1
Spearsland,52372247,2022-01-30,5,1903.95,0,57.0,Kiribati,Furniture,Sunday,False,2022,1
Spearsland,52372247,2022-01-31,1,380.79,0,0.0,Antigua and Barbuda,Furniture,Monday,False,2022,1
Spearsland,52372247,2022-02-01,4,1523.16,0,0.0,Czech Republic,Furniture,Tuesday,False,2022,2
Spearsland,52372247,2022-02-02,7,2665.53,0,0.0,Mauritius,Furniture,Wednesday,False,2022,2
Spearsland,52372247,2022-02-03,1,380.79,0,189.0,Congo,Furniture,Thursday,False,2022,2
Spearsland,52372247,2022-02-04,5,1903.95,0,9.0,Bouvet Island (Bouvetoya),Furniture,Friday,False,2022,2
Spearsland,52372247,2022-02-05,3,1142.37,0,0.0,Hong Kong,Furniture,Saturday,False,2022,2
Spearsland,52372247,2022-02-06,13,4950.27,0,0.0,Hong Kong,Furniture,Sunday,False,2022,2
Spearsland,52372247,2022-02-07,5,1903.95,0,34.0,Slovenia,Furniture,Monday,False,2022,2
Spearsland,52372247,2022-02-08,5,1903.95,0,0.0,Antarctica (the territory South of 60 deg S),Furniture,Tuesday,False,2022,2
Spearsland,52372247,2022-02-09,3,1142.37,0,0.0,Trinidad and Tobago,Furniture,Wednesday,False,2022,2
Spearsland,52372247,2022-02-10,5,1903.95,0,0.0,Oman,Furniture,Thursday,False,2022,2
Spearsland,52372247,2022-02-11,5,1903.95,0,85.0,Lithuania,Furniture,Friday,False,2022,2
Spearsland,52372247,2022-02-12,2,761.58,0,0.0,Tokelau,Furniture,Saturday,False,2022,2
Spearsland,52372247,2022-02-13,6,1942.03,15,122.0,Northern Mariana Islands,Furniture,Sunday,False,2022,2
Spearsland,52372247,2022-02-14,7,2665.53,0,0.0,Antigua and Barbuda,Furniture,Monday,False,2022,2
Spearsland,52372247,2022-02-15,11,4188.69,0,135.0,Sierra Leone,Furniture,Tuesday,False,2022,2
Spearsland,52372247,2022-02-16,7,2665.53,0,0.0,Libyan Arab Jamahiriya,Furniture,Wednesday,False,2022,2
Spearsland,52372247,2022-02-17,4,1523.16,0,199.0,Cocos (Keeling) Islands,Furniture,Thursday,False,2022,2
Spearsland,52372247,2022-02-18,6,2284.74,0,133.0,Jersey,Furniture,Friday,False,2022,2
Spearsland,52372247,2022-02-19,5,1903.95,0,0.0,Saudi Arabia,Furniture,Saturday,False,2022,2
Spearsland,52372247,2022-02-20,3,1142.37,0,0.0,United States of America,Furniture,Sunday,False,2022,2
Spearsland,52372247,2022-02-21,3,1142.37,0,0.0,Germany,Furniture,Monday,False,2022,2
Spearsland,52372247,2022-02-22,5,1903.95,0,40.0,Sierra Leone,Furniture,Tuesday,False,2022,2
Spearsland,52372247,2022-02-23,2,609.26,20,0.0,Nauru,Furniture,Wednesday,False,2022,2
Spearsland,52372247,2022-02-24,11,4188.69,0,0.0,Lithuania,Furniture,Thursday,False,2022,2
Spearsland,52372247,2022-02-25,7,2665.53,0,54.0,Saint Barthelemy,Furniture,Friday,False,2022,2
Spearsland,52372247,2022-02-26,13,4950.27,0,0.0,Montenegro,Furniture,Saturday,False,2022,2
Spearsland,52372247,2022-02-27,5,1903.95,0,0.0,Tanzania,Furniture,Sunday,False,2022,2
Spearsland,52372247,2022-02-28,7,2132.42,20,0.0,Tuvalu,Furniture,Monday,False,2022,2
Spearsland,52372247,2022-03-01,3,1142.37,0,0.0,Micronesia,Furniture,Tuesday,False,2022,3
Spearsland,52372247,2022-03-02,7,2665.53,0,0.0,Netherlands,Furniture,Wednesday,False,2022,3
Spearsland,52372247,2022-03-03,6,2284.74,0,0.0,Swaziland,Furniture,Thursday,False,2022,3
Spearsland,52372247,2022-03-04,2,685.42,10,7.0,Mexico,Furniture,Friday,False,2022,3
Spearsland,52372247,2022-03-05,9,3427.11,0,169.0,Kiribati,Furniture,Saturday,False,2022,3
Spearsland,52372247,2022-03-06,2,761.58,0,33.0,Puerto Rico,Furniture,Sunday,False,2022,3
Spearsland,52372247,2022-03-07,3,1142.37,0,0.0,Lebanon,Furniture,Monday,False,2022,3
Spearsland,52372247,2022-03-08,3,1142.37,0,98.0,Palestinian Territory,Furniture,Tuesday,False,2022,3
Spearsland,52372247,2022-03-09,4,1523.16,0,108.0,Slovenia,Furniture,Wednesday,False,2022,3
Spearsland,52372247,2022-03-10,2,761.58,0,0.0,Tokelau,Furniture,Thursday,False,2022,3
Spearsland,52372247,2022-03-11,4,1218.53,20,38.0,Haiti,Furniture,Friday,False,2022,3
Spearsland,52372247,2022-03-12,3,1142.37,0,0.0,Sri Lanka,Furniture,Saturday,False,2022,3
Spearsland,52372247,2022-03-13,7,2665.53,0,168.0,Tanzania,Furniture,Sunday,False,2022,3
Spearsland,52372247,2022-03-14,7,2265.7,15,0.0,French Polynesia,Furniture,Monday,False,2022,3
Spearsland,52372247,2022-03-15,2,761.58,0,30.0,Isle of Man,Furniture,Tuesday,False,2022,3
Spearsland,52372247,2022-03-16,7,2398.98,10,0.0,Reunion,Furniture,Wednesday,False,2022,3
Spearsland,52372247,2022-03-17,7,2665.53,0,0.0,Christmas Island,Furniture,Thursday,False,2022,3
Spearsland,52372247,2022-03-18,6,2284.74,0,4.0,Martinique,Furniture,Friday,False,2022,3
